"","Name","Party","Rank","VoteCount","VoteShare","Title"
"202","Claude Jackson","Democratic Party","4 of 8","530","4.7%","Election Results for 1986 Primary Election, Alderman, Ward 15, Chicago, IL"
"203","N. Bradley","Democratic Party","5 of 8","467","4.1%","Election Results for 1986 Primary Election, Alderman, Ward 15, Chicago, IL"
"204","Annette Moore","Democratic Party","6 of 8","283","2.5%","Election Results for 1986 Primary Election, Alderman, Ward 15, Chicago, IL"
"205","William A. Neal","Democratic Party","7 of 8","209","1.9%","Election Results for 1986 Primary Election, Alderman, Ward 15, Chicago, IL"
"206","David Whitehead","Democratic Party","8 of 8","117","1.0%","Election Results for 1986 Primary Election, Alderman, Ward 15, Chicago, IL"
"207","Robert T. Kellam","Democratic Party","1 of 8","12,336","63.2%","Election Results for 1986 Primary Election, Alderman, Ward 18, Chicago, IL"
"208","Monica Faith Stewart","Democratic Party","2 of 8","4,720","24.2%","Election Results for 1986 Primary Election, Alderman, Ward 18, Chicago, IL"
"209","Eldora Davis","Democratic Party","3 of 8","787","4.0%","Election Results for 1986 Primary Election, Alderman, Ward 18, Chicago, IL"
"210","George H. Eddings","Democratic Party","4 of 8","415","2.1%","Election Results for 1986 Primary Election, Alderman, Ward 18, Chicago, IL"
"211","Doris J. Nogaj","Democratic Party","5 of 8","388","2.0%","Election Results for 1986 Primary Election, Alderman, Ward 18, Chicago, IL"
"212","Charles E. Marble","Democratic Party","6 of 8","359","1.8%","Election Results for 1986 Primary Election, Alderman, Ward 18, Chicago, IL"
"213","Chester Marks","Democratic Party","7 of 8","253","1.3%","Election Results for 1986 Primary Election, Alderman, Ward 18, Chicago, IL"
"214","Bruce E. Crosby","Democratic Party","8 of 8","252","1.3%","Election Results for 1986 Primary Election, Alderman, Ward 18, Chicago, IL"
"215","Jesus Garcia","Democratic Party","1 of 3","3,293","54.6%","Election Results for 1986 Primary Election, Alderman, Ward 22, Chicago, IL"
"216","Guadalupe Martinez","Democratic Party","2 of 3","2,013","33.4%","Election Results for 1986 Primary Election, Alderman, Ward 22, Chicago, IL"
"217","Fred Yanez","Democratic Party","3 of 3","727","12.1%","Election Results for 1986 Primary Election, Alderman, Ward 22, Chicago, IL"
"218","Juan M. Soliz","Democratic Party","1 of 4","3,798","54.7%","Election Results for 1986 Primary Election, Alderman, Ward 25, Chicago, IL"
"219","Juan A. Velazquez","Democratic Party","2 of 4","1,616","23.3%","Election Results for 1986 Primary Election, Alderman, Ward 25, Chicago, IL"
"220","Virginia Martinez","Democratic Party","3 of 4","904","13.0%","Election Results for 1986 Primary Election, Alderman, Ward 25, Chicago, IL"
"221","Philip Coronado","Democratic Party","4 of 4","624","9.0%","Election Results for 1986 Primary Election, Alderman, Ward 25, Chicago, IL"
"222","Luis V. Gutierrez","Democratic Party","1 of 2","5,239","50.1%","Election Results for 1986 Primary Election, Alderman, Ward 26, Chicago, IL"
"223","Manuel A. Torres","Democratic Party","2 of 2","5,214","49.9%","Election Results for 1986 Primary Election, Alderman, Ward 26, Chicago, IL"
"224","Miguel A. Santiago","Democratic Party","1 of 2","4,479","77.5%","Election Results for 1986 Primary Election, Alderman, Ward 31, Chicago, IL"
"225","Benjamin Rosado","Democratic Party","2 of 2","1,302","22.5%","Election Results for 1986 Primary Election, Alderman, Ward 31, Chicago, IL"
"226","Migdalia Collazo","Democratic Party","1 of 1","2,226","100.0%","Election Results for 1986 Primary Election, Alderman, Ward 31, Chicago, IL"
"227","Fred B. Roti","Democratic Party","1 of 1","13,718","100.0%","Election Results for 1987 Primary Election, Alderman, Ward 1, Chicago, IL"
"228","Victor A. Vrdolyak","Democratic Party","1 of 2","15,867","60.9%","Election Results for 1987 Primary Election, Alderman, Ward 10, Chicago, IL"
"229","Clement Balanoff","Democratic Party","2 of 2","10,182","39.1%","Election Results for 1987 Primary Election, Alderman, Ward 10, Chicago, IL"
"230","Patrick M. Huels","Democratic Party","1 of 1","18,577","100.0%","Election Results for 1987 Primary Election, Alderman, Ward 11, Chicago, IL"
"231","Mark J. Fary","Democratic Party","1 of 4","11,967","58.3%","Election Results for 1987 Primary Election, Alderman, Ward 12, Chicago, IL"
"232","Aloysius A. Majerczyk","Republican Party","2 of 4","4,569","22.2%","Election Results for 1987 Primary Election, Alderman, Ward 12, Chicago, IL"
"233","David T. Zwolinski","Democratic Party","3 of 4","3,181","15.5%","Election Results for 1987 Primary Election, Alderman, Ward 12, Chicago, IL"
"234","Ronald E. Mckee","Democratic Party","4 of 4","819","4.0%","Election Results for 1987 Primary Election, Alderman, Ward 12, Chicago, IL"
"235","John S. Madrzyk","Democratic Party","1 of 3","27,134","82.6%","Election Results for 1987 Primary Election, Alderman, Ward 13, Chicago, IL"
"236","James J. O'connell","Republican Party","2 of 3","4,647","14.2%","Election Results for 1987 Primary Election, Alderman, Ward 13, Chicago, IL"
"237","Arthur Joseph Jones","Democratic Party","3 of 3","1,054","3.2%","Election Results for 1987 Primary Election, Alderman, Ward 13, Chicago, IL"
"238","Edward M. Burke","Democratic Party","1 of 1","20,366","100.0%","Election Results for 1987 Primary Election, Alderman, Ward 14, Chicago, IL"
"239","Marlene C. Carter","Democratic Party","1 of 12","7,515","39.0%","Election Results for 1987 Primary Election, Alderman, Ward 15, Chicago, IL"
"240","Larry Williams","Democratic Party","2 of 12","3,538","18.3%","Election Results for 1987 Primary Election, Alderman, Ward 15, Chicago, IL"
"241","Virgil E. Jones","Democratic Party","3 of 12","3,264","16.9%","Election Results for 1987 Primary Election, Alderman, Ward 15, Chicago, IL"
"242","Claude Jackson","Democratic Party","4 of 12","2,399","12.4%","Election Results for 1987 Primary Election, Alderman, Ward 15, Chicago, IL"
"243","Annette Moore","Democratic Party","5 of 12","513","2.7%","Election Results for 1987 Primary Election, Alderman, Ward 15, Chicago, IL"
"244","Nathan Bradley","Democratic Party","6 of 12","438","2.3%","Election Results for 1987 Primary Election, Alderman, Ward 15, Chicago, IL"
"245","David Whitehead","Democratic Party","7 of 12","359","1.9%","Election Results for 1987 Primary Election, Alderman, Ward 15, Chicago, IL"
"246","Willie J. Curtis","Democratic Party","8 of 12","336","1.7%","Election Results for 1987 Primary Election, Alderman, Ward 15, Chicago, IL"
"247","Darryl J. Robinson","Democratic Party","9 of 12","289","1.5%","Election Results for 1987 Primary Election, Alderman, Ward 15, Chicago, IL"
"248","Theodore E. Robinson","Democratic Party","10 of 12","237","1.2%","Election Results for 1987 Primary Election, Alderman, Ward 15, Chicago, IL"
"249","Tommie Grayer, Sr.","Democratic Party","11 of 12","212","1.1%","Election Results for 1987 Primary Election, Alderman, Ward 15, Chicago, IL"
"250","Richard Hodge","Democratic Party","12 of 12","182","0.9%","Election Results for 1987 Primary Election, Alderman, Ward 15, Chicago, IL"
"251","Anna R. Langford","Democratic Party","1 of 10","6,368","34.8%","Election Results for 1987 Primary Election, Alderman, Ward 16, Chicago, IL"
"252","James C. Taylor","Democratic Party","2 of 10","3,166","17.3%","Election Results for 1987 Primary Election, Alderman, Ward 16, Chicago, IL"
"253","James A. Tyson, Jr.","Democratic Party","3 of 10","2,734","15.0%","Election Results for 1987 Primary Election, Alderman, Ward 16, Chicago, IL"
"254","Samuel Reid","Democratic Party","4 of 10","2,662","14.6%","Election Results for 1987 Primary Election, Alderman, Ward 16, Chicago, IL"
"255","Eugene Davis","Democratic Party","5 of 10","1,328","7.3%","Election Results for 1987 Primary Election, Alderman, Ward 16, Chicago, IL"
"256","Clarence C. Barry","Democratic Party","6 of 10","582","3.2%","Election Results for 1987 Primary Election, Alderman, Ward 16, Chicago, IL"
"257","Lee Ethel Stowers","Democratic Party","7 of 10","412","2.3%","Election Results for 1987 Primary Election, Alderman, Ward 16, Chicago, IL"
"258","Jamesetta Dixon","Democratic Party","8 of 10","395","2.2%","Election Results for 1987 Primary Election, Alderman, Ward 16, Chicago, IL"
"259","Walter Action Jackson","Democratic Party","9 of 10","370","2.0%","Election Results for 1987 Primary Election, Alderman, Ward 16, Chicago, IL"
"260","Robert L. Campbell","Democratic Party","10 of 10","265","1.4%","Election Results for 1987 Primary Election, Alderman, Ward 16, Chicago, IL"
"261","Allan Streeter","Democratic Party","1 of 3","16,398","74.2%","Election Results for 1987 Primary Election, Alderman, Ward 17, Chicago, IL"
"262","Clyde Martin","Democratic Party","2 of 3","4,431","20.1%","Election Results for 1987 Primary Election, Alderman, Ward 17, Chicago, IL"
"263","Midred R. Embry","Democratic Party","3 of 3","1,260","5.7%","Election Results for 1987 Primary Election, Alderman, Ward 17, Chicago, IL"
"264","Robert T. Kellam","Democratic Party","1 of 5","14,342","47.9%","Election Results for 1987 Primary Election, Alderman, Ward 18, Chicago, IL"
"265","Eldora Davis","Democratic Party","2 of 5","12,006","40.1%","Election Results for 1987 Primary Election, Alderman, Ward 18, Chicago, IL"
"266","James N. Maccann","Democratic Party","3 of 5","2,267","7.6%","Election Results for 1987 Primary Election, Alderman, Ward 18, Chicago, IL"
"267","Richard J. Jones","Democratic Party","4 of 5","946","3.2%","Election Results for 1987 Primary Election, Alderman, Ward 18, Chicago, IL"
"268","Raymond J. Carroll","Democratic Party","5 of 5","401","1.3%","Election Results for 1987 Primary Election, Alderman, Ward 18, Chicago, IL"
"269","Michael F. Sheahan","Democratic Party","1 of 2","26,936","91.0%","Election Results for 1987 Primary Election, Alderman, Ward 19, Chicago, IL"
"270","Maurice E. Johnson","Democratic Party","2 of 2","2,675","9.0%","Election Results for 1987 Primary Election, Alderman, Ward 19, Chicago, IL"
"271","Bobby Rush","Democratic Party","1 of 5","9,978","55.0%","Election Results for 1987 Primary Election, Alderman, Ward 2, Chicago, IL"
"272","William Barnett","Democratic Party","2 of 5","3,988","22.0%","Election Results for 1987 Primary Election, Alderman, Ward 2, Chicago, IL"
"273","Jerry D. Brown","Democratic Party","3 of 5","2,294","12.6%","Election Results for 1987 Primary Election, Alderman, Ward 2, Chicago, IL"
"274","Jeffrey L. Roberts","Democratic Party","4 of 5","1,499","8.3%","Election Results for 1987 Primary Election, Alderman, Ward 2, Chicago, IL"
"275","Deotis Taylor","Democratic Party","5 of 5","386","2.1%","Election Results for 1987 Primary Election, Alderman, Ward 2, Chicago, IL"
"276","Clifford P. Kelley","Democratic Party","1 of 7","7,270","41.6%","Election Results for 1987 Primary Election, Alderman, Ward 20, Chicago, IL"
"277","Ernest Jones","Democratic Party","2 of 7","3,175","18.2%","Election Results for 1987 Primary Election, Alderman, Ward 20, Chicago, IL"
"278","Malinda C. Keys","Democratic Party","3 of 7","2,079","11.9%","Election Results for 1987 Primary Election, Alderman, Ward 20, Chicago, IL"
"279","Inez M. Gardner","Democratic Party","4 of 7","1,788","10.2%","Election Results for 1987 Primary Election, Alderman, Ward 20, Chicago, IL"
"280","Dino F. Mcneal","Democratic Party","5 of 7","1,447","8.3%","Election Results for 1987 Primary Election, Alderman, Ward 20, Chicago, IL"
"281","Beverly Thomas","Democratic Party","6 of 7","1,128","6.5%","Election Results for 1987 Primary Election, Alderman, Ward 20, Chicago, IL"
"282","Donald L. Birden","Democratic Party","7 of 7","576","3.3%","Election Results for 1987 Primary Election, Alderman, Ward 20, Chicago, IL"
"283","Niles Sherman","Democratic Party","1 of 13","12,186","44.8%","Election Results for 1987 Primary Election, Alderman, Ward 21, Chicago, IL"
"284","Jesse J. Evans","Democratic Party","2 of 13","2,530","9.3%","Election Results for 1987 Primary Election, Alderman, Ward 21, Chicago, IL"
"285","Stanley Johnson","Democratic Party","3 of 13","2,277","8.4%","Election Results for 1987 Primary Election, Alderman, Ward 21, Chicago, IL"
"286","Arthur Jones","Democratic Party","4 of 13","2,158","7.9%","Election Results for 1987 Primary Election, Alderman, Ward 21, Chicago, IL"
"287","Leonard Deville","Democratic Party","5 of 13","1,537","5.7%","Election Results for 1987 Primary Election, Alderman, Ward 21, Chicago, IL"
"288","Martin A. Henderson","Democratic Party","6 of 13","1,313","4.8%","Election Results for 1987 Primary Election, Alderman, Ward 21, Chicago, IL"
"289","Paul Grant","Democratic Party","7 of 13","1,107","4.1%","Election Results for 1987 Primary Election, Alderman, Ward 21, Chicago, IL"
"290","Roosevelt Ely Iii","Democratic Party","8 of 13","993","3.7%","Election Results for 1987 Primary Election, Alderman, Ward 21, Chicago, IL"
"291","Thomas E. Coleman","Democratic Party","9 of 13","906","3.3%","Election Results for 1987 Primary Election, Alderman, Ward 21, Chicago, IL"
"292","Emma J. Brandon","Democratic Party","10 of 13","716","2.6%","Election Results for 1987 Primary Election, Alderman, Ward 21, Chicago, IL"
"293","La Dara Jones","Democratic Party","11 of 13","517","1.9%","Election Results for 1987 Primary Election, Alderman, Ward 21, Chicago, IL"
"294","Myles L. Reed","Democratic Party","12 of 13","509","1.9%","Election Results for 1987 Primary Election, Alderman, Ward 21, Chicago, IL"
"295","Lula Mae Clay","Democratic Party","13 of 13","446","1.6%","Election Results for 1987 Primary Election, Alderman, Ward 21, Chicago, IL"
"296","Jesus G. Garcia","Democratic Party","1 of 7","3,998","53.6%","Election Results for 1987 Primary Election, Alderman, Ward 22, Chicago, IL"
"297","Peter Sandoval","Democratic Party","2 of 7","986","13.2%","Election Results for 1987 Primary Election, Alderman, Ward 22, Chicago, IL"
"298","August Sallas","Democratic Party","3 of 7","952","12.8%","Election Results for 1987 Primary Election, Alderman, Ward 22, Chicago, IL"
"299","Dante H. Plata","Democratic Party","4 of 7","710","9.5%","Election Results for 1987 Primary Election, Alderman, Ward 22, Chicago, IL"
"300","Jessie R. Ramos","Democratic Party","5 of 7","518","6.9%","Election Results for 1987 Primary Election, Alderman, Ward 22, Chicago, IL"
"301","Ed Campos","Democratic Party","6 of 7","167","2.2%","Election Results for 1987 Primary Election, Alderman, Ward 22, Chicago, IL"
"302","Rogelio Pena","Democratic Party","7 of 7","126","1.7%","Election Results for 1987 Primary Election, Alderman, Ward 22, Chicago, IL"
"303","William F. Krystyniak","Democratic Party","1 of 2","20,455","68.1%","Election Results for 1987 Primary Election, Alderman, Ward 23, Chicago, IL"
"304","Wayne M. Straza","Democratic Party","2 of 2","9,592","31.9%","Election Results for 1987 Primary Election, Alderman, Ward 23, Chicago, IL"
"305","William C. Henry","Democratic Party","1 of 4","15,110","74.7%","Election Results for 1987 Primary Election, Alderman, Ward 24, Chicago, IL"
"306","Moses Walker, Jr.","Democratic Party","2 of 4","3,057","15.1%","Election Results for 1987 Primary Election, Alderman, Ward 24, Chicago, IL"
"307","Melvin Gray","Democratic Party","3 of 4","1,057","5.2%","Election Results for 1987 Primary Election, Alderman, Ward 24, Chicago, IL"
"308","Edward Washington, Ii","Democratic Party","4 of 4","996","4.9%","Election Results for 1987 Primary Election, Alderman, Ward 24, Chicago, IL"
"309","Juan M. Soliz","Democratic Party","1 of 4","3,713","40.2%","Election Results for 1987 Primary Election, Alderman, Ward 25, Chicago, IL"
